0,-0.24238,-1.421,0.62325,-0.48101,0.043202,0.16022,0,0,0.26704,2.1921,0.077867,2.3803,0.90325,2.243,0,0
-0.46154,-0.30069,-1.6031,0.58042,0.18777,0.2407,-0.85755,0,0,0.36467,2.3893,0.16275,2.0419,0.87434,2.3338,0,0
-0.38462,-2.5232,12.695,-1.1638,-0.42293,-0.020259,-3.7944,1,1,0.45051,2.4775,0.3038,1.6547,0.85047,2.3899,0,0
-0.30769,-1.6226,9.5843,-1.6288,-6.7189,-0.36552,-0.56664,0,0,0.48599,2.4768,0.44644,1.0864,0.81569,2.447,0,0
-0.23077,1.0604,-5.929,-0.10449,-5.9284,-0.20733,1.8764,0,0,0.34964,2.2426,0.53012,0.55443,0.77226,2.494,0,0
-0.15385,0.312,-14.341,0.20605,-2.0377,-0.25252,0.017097,0,0,0.20563,1.7962,0.58097,-0.077272,0.69605,2.5482,0,0
-0.076923,0.39743,-9.1135,-1.5448,-0.66824,-0.067865,-0.70971,0,0,-0.031167,1.2279,0.58709,-0.54438,0.61685,2.6045,0,0
70.059,0.45201,-7.6357,-0.75467,0.98831,0.05489,0.45619,0,0,-0.19724,0.76315,0.53749,-0.95297,0.51296,2.6917,0,0
0.076923,0.017445,-6.7101,0.35994,2.5917,0.027349,0.86874,0,0,-0.35236,0.158,0.42052,-1.2077,0.4268,2.7876,0,0
0.15385,-0.12157,-4.3836,0.10706,3.6007,0.025751,0.9091,0,0,-0.53673,-0.48437,0.39367,-1.3535,0.31746,2.9359,0,0
0.23077,-0.10788,-1.69,-0.21894,3.8562,0.08078,1.0643,0,0,-0.75179,-1.5762,0.36086,-1.3394,0.21575,3.0349,0,0
0.30769,-0.23677,-0.2578,0.28907,3.9105,0.12668,1.1351,0,0,-0.86401,-2.505,0.35478,-1.1103,0.092045,3.0243,0,0
0.38462,-0.50566,1.1284,1.0096,3.802,0.063282,1.1376,0,0,-0.89119,-3.286,0.38656,-0.85042,-0.011167,2.9456,0,0
0.46154,-0.52403,1.9033,0.89623,3.1877,-0.040755,1.2066,0,0,-0.86917,-3.8796,0.41988,-0.52361,-0.11089,2.7605,0,0
